Year,Region,Round,TeamA,SeedA,ScoreA,TeamB,SeedB,ScoreB,Winner,Location
2012,West,R32,Murray State,6,53,Marquette,3,62,Marquette,"Louisville, KY"
2012,West,R32,Florida,7,84,Norfolk State,15,50,Florida,"Omaha, NE"
2012,West,S16,Michigan State,1,44,Louisville,4,57,Louisville,"Phoenix, AZ"
2012,West,S16,Marquette,3,58,Florida,7,68,Florida,"Phoenix, AZ"
2012,West,E8,Louisville,4,72,Florida,7,68,Louisville,"Phoenix, AZ"
2012,National,F4,Kentucky,1,69,Louisville,4,61,Kentucky,"New Orleans, LA"
2012,National,F4,Ohio State,2,62,Kansas,2,64,Kansas,"New Orleans, LA"
2012,National,Championship,Kentucky,1,67,Kansas,2,59,Kentucky,"New Orleans, LA"
2013,East,R64,Indiana,1,83,James Madison,16,62,Indiana,"Dayton, OH"
2013,East,R64,NC State,8,72,Temple,9,76,Temple,"Dayton, OH"
