Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,241,North_Dakota,Summit,,21-Sep,184,,201,176,---,,6-Jun,188,12-Feb,178,3-Jan,190,,12-Jun,198,9-Mar,163,,0-1,0-1,0-2,0-1,10-May,8-Apr
,,,,,(9-21-0),,,,,,,(6-6-0),,(2-12-0),,(1-3-0),,,(6-12-0),,(3-9-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(5-10-0),(4-8-0)
,242,Mount St. Mary's,Metro Atlantic Athletic,,21-12,250,,284,208,187,,4-Sep,284,8-Oct,225,Feb-00,251,,15-8,268,4-Jun,208,,0-1,0-0,0-1,0-2,Apr-00,17-9
,,,,,(19-11-3),,,,,,,(9-3-1),,(8-8-2),,(2-0-0),,,(15-7-1),,(4-4-2),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(2-0-2),(17-8-1)
,243,Portland,West Coast,,20-Oct,155,,209,126,191,,7-Jul,164,9-Mar,134,0-4,185,,12-Jul,128,8-Mar,201,,0-4,0-1,0-5,3-Jan,8-Mar,4-Jun
,,,,,(8-19-3),,,,,,,(5-7-2),,(3-8-1),,(0-4-0),,,(6-12-1),,(2-7-2),,,(0-4-0),(0-0-1),(0-4-1),(1-3-0),(3-8-0),(4-4-2)
,244,Dartmouth,Ivy League,,14-Dec,238,,263,221,167,,4-Jul,254,9-May,231,0-1,165,,7-Aug,232,7-Apr,246,,0-0,0-0,0-0,0-1,5-Feb,8-Oct
,,,,,(12-13-1),,,,,,,(7-4-0),,(5-8-1),,(0-1-0),,,(8-7-0),,(4-6-1),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(2-4-1),(10-8-0)
,245,SIUE,Ohio Valley,,19-11,264,,288,228,231,,3-Sep,284,8-Jul,248,Mar-00,265,,15-7,281,4-Apr,217,,0-1,0-1,0-2,0-0,Jan-00,18-9
,,,,,(18-11-1),,,,,,,(9-3-0),,(6-8-1),,(3-0-0),,,(14-7-1),,(4-4-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(1-0-0),(17-9-1)
,246,UNC_Asheville,Big South,,17-11,224,,259,158,225,,1-Sep,249,9-Jun,206,1-Feb,229,,6-Dec,235,5-May,203,,0-1,0-0,0-1,0-1,6-Mar,14-3
,,,,,(17-9-2),,,,,,,(9-1-0),,(6-7-2),,(2-1-0),,,(12-5-1),,(5-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(3-5-1),(14-2-1)
,247,South_Dakota,Summit,,15-14,205,,243,164,---,,2-Oct,221,11-Apr,198,1-Jan,155,,8-Oct,200,6-May,212,,0-0,0-0,0-0,0-3,7-Apr,4-Nov
,,,,,(15-14-0),,,,,,,(10-2-0),,(4-11-0),,(1-1-0),,,(10-8-0),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(4-7-0),(11-4-0)
,248,Northwestern_LA,Southland,,13-15,201,,262,145,234,,5-Jun,248,9-Jun,175,1-Jan,142,,8-Dec,236,7-Jan,116,,0-1,0-1,0-2,0-6,4-Feb,3-Nov
,,,,,(12-14-2),,,,,,,(6-5-0),,(5-8-2),,(1-1-0),,,(11-8-1),,(1-6-1),,,(0-1-0),(0-1-0),(0-2-0),(0-6-0),(2-3-1),(10-3-1)
,249,American,Patriot League,,20-12,241,,276,184,242,,13-2,266,10-May,214,Feb-00,250,,16-5,277,7-Apr,172,,0-0,0-1,0-1,0-2,3-Feb,18-6
,,,,,(18-11-3),,,,,,,(12-1-2),,(4-10-1),,(2-0-0),,,(15-5-1),,(3-6-2),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(1-3-1),(17-5-2)
,250,UC_Davis,Big West,,13-17,186,,226,151,292,,6-Jun,196,10-Jul,179,0-1,176,,12-Sep,187,5-Apr,182,,0-0,0-0,0-0,6-Jan,6-May,5-Jul
,,,,,(12-17-1),,,,,,,(6-6-0),,(6-10-1),,(0-1-0),,,(8-12-1),,(4-5-0),,,(0-0-0),(0-0-0),(0-0-0),(1-6-0),(5-6-0),(6-5-1)
,251,Pacific,West Coast,,24-Jul,153,,227,132,174,,10-Apr,186,13-Feb,115,1-Jan,204,,15-Apr,136,9-Mar,180,,0-3,0-1,0-4,0-8,4-Apr,8-Mar
,,,,,(6-23-2),,,,,,,(4-10-0),,(1-12-2),,(1-1-0),,,(3-14-2),,(3-9-0),,,(0-3-0),(0-1-0),(0-4-0),(0-8-0),(3-4-1),(3-7-1)
,252,Florida_Intl,Conference USA,,23-Aug,182,,239,165,193,,8-May,184,13-Jan,180,2-Feb,184,,16-Apr,151,7-Apr,238,,0-0,0-0,0-0,0-2,18-Mar,3-May
,,,,,(6-22-3),,,,,,,(4-7-2),,(1-13-0),,(1-2-1),,,(3-15-2),,(3-7-1),,,(0-0-0),(0-0-0),(0-0-0),(0-2-0),(3-17-1),(3-3-2)
,253,Ga_Southern,Sun Belt,,16-16,230,,284,168,264,,3-Oct,260,11-Apr,192,2-Feb,278,,11-Sep,238,5-Jul,219,,0-0,0-1,0-1,0-1,8-Jan,15-6
,,,,,(14-14-4),,,,,,,(9-3-1),,(3-9-3),,(2-2-0),,,(8-9-3),,(6-5-1),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(1-8-0),(13-4-4)
,254,Navy,Patriot League,,14-19,263,,288,242,321,,5-Aug,273,12-Jun,261,0-2,209,,9-Dec,276,10-Feb,240,,0-0,0-0,0-0,0-1,4-Jan,13-14
,,,,,(13-19-1),,,,,,,(7-5-1),,(6-12-0),,(0-2-0),,,(11-9-1),,(2-10-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(1-4-0),(12-14-1)
,255,Vermont,America East,,19-12,249,,268,220,---,,3-Nov,273,8-Jul,225,1-Jan,266,,14-4,284,8-May,201,,0-1,0-0,0-1,Jan-00,3-Mar,15-8
,,,,,(19-12-0),,,,,,,(11-3-0),,(7-8-0),,(1-1-0),,,(14-4-0),,(5-8-0),,,(0-1-0),(0-0-0),(0-1-0),(1-0-0),(3-3-0),(15-8-0)
,256,Manhattan,Metro Atlantic Athletic,,16-13,257,,282,218,281,,5-Aug,266,7-Aug,251,0-1,233,,9-Dec,266,4-Apr,236,,0-1,0-0,0-1,0-1,1-Feb,14-10
,,,,,(14-11-4),,,,,,,(7-4-2),,(7-6-2),,(0-1-0),,,(11-7-3),,(3-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(2-1-0),(12-8-4)
,257,MA_Lowell,America East,,14-15,248,,283,210,251,,4-Nov,276,11-Mar,219,0-0,---,,11-Jun,280,4-Aug,203,,0-1,0-0,0-1,0-0,5-Feb,9-Dec
,,,,,(14-13-2),,,,,,,(11-2-2),,(3-11-0),,(0-0-0),,,(6-9-2),,(8-4-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(2-5-0),(12-7-2)
,258,North_Florida,Atlantic Sun,,13-17,213,,238,174,310,,6-Jun,235,10-Jul,193,0-1,287,,11-Aug,247,6-May,155,,0-1,0-1,0-2,1-Feb,7-Jan,7-Oct
,,,,,(12-15-3),,,,,,,(5-6-1),,(7-8-2),,(0-1-0),,,(7-10-2),,(5-5-1),,,(0-1-0),(0-1-0),(0-2-0),(2-1-0),(1-7-0),(9-5-3)
,259,Northern_Arizona,Big Sky,,14-15,241,,277,207,---,,5-Jun,243,8-Jul,239,2-Jan,243,,11-Sep,237,4-May,250,,0-0,0-0,0-0,0-1,7-Jan,13-7
,,,,,(14-15-0),,,,,,,(6-5-0),,(7-8-0),,(1-2-0),,,(9-11-0),,(5-4-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(1-7-0),(13-7-0)
,260,Abilene_Chr,Western Athletic,,13-15,193,,251,148,166,,5-Jul,217,9-May,169,1-Jan,219,,9-Aug,205,6-May,175,,0-0,0-2,0-2,1-Jan,9-Mar,3-Sep
,,,,,(12-14-2),,,,,,,(6-4-2),,(5-9-0),,(1-1-0),,,(7-8-2),,(5-6-0),,,(0-0-0),(0-2-0),(0-2-0),(0-1-1),(3-9-0),(9-2-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,261,Sacred_Heart,Metro Atlantic Athletic,,14-18,254,,292,227,186,,5-Jul,261,11-May,238,2-Feb,296,,11-Nov,266,7-Mar,228,,0-0,0-1,0-1,0-0,4-Feb,13-Dec
,,,,,(14-17-1),,,,,,,(7-5-0),,(5-11-0),,(2-1-1),,,(11-10-1),,(3-7-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(2-3-1),(12-13-0)
,262,San_Diego,West Coast,,27-May,160,,263,141,---,,13-Apr,185,0-12,123,2-Jan,163,,17-Mar,135,10-Feb,202,,0-2,0-0,0-2,0-10,0-7,8-May
,,,,,(5-27-0),,,,,,,(4-13-0),,(0-12-0),,(1-2-0),,,(3-17-0),,(2-10-0),,,(0-2-0),(0-0-0),(0-2-0),(0-10-0),(0-7-0),(5-8-0)
,263,Presbyterian,Big South,,18-Nov,219,,235,202,280,,5-May,228,12-Apr,217,1-Feb,202,,10-Jul,231,8-Apr,203,,0-0,0-0,0-0,0-1,9-Mar,8-Aug
,,,,,(10-17-2),,,,,,,(5-4-1),,(3-12-1),,(2-1-0),,,(7-10-0),,(3-7-2),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(3-9-0),(7-7-2)
,264,Jackson_St,Southwestern Athletic,,16-18,231,,323,141,312,,1-Sep,322,15-Jun,186,2-Jan,242,,16-5,320,0-13,88,,0-3,0-1,0-4,0-2,0-7,16-5
,,,,,(15-17-2),,,,,,,(8-1-1),,(6-14-1),,(1-2-0),,,(15-4-2),,(0-13-0),,,(0-3-0),(0-1-0),(0-4-0),(0-2-0),(0-7-0),(15-4-2)
,265,Southern_Univ,Southwestern Athletic,,17-11,251,,313,147,282,,1-Aug,310,9-Sep,219,0-1,301,,15-4,317,7-Feb,112,,0-0,0-2,0-2,0-3,1-Jan,16-5
,,,,,(16-10-2),,,,,,,(7-1-1),,(9-9-0),,(0-0-1),,,(14-3-2),,(2-7-0),,,(0-0-0),(0-2-0),(0-2-0),(0-3-0),(1-1-0),(15-4-2)
,266,W_Michigan,Mid-American,,20-Nov,212,,262,184,---,,9-May,246,10-Jun,187,0-1,143,,10-Sep,230,10-Feb,183,,0-1,0-0,0-1,0-2,8-Apr,9-Jul
,,,,,(11-20-0),,,,,,,(5-9-0),,(6-10-0),,(0-1-0),,,(9-10-0),,(2-10-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(4-8-0),(7-9-0)
,267,E_Michigan,Mid-American,,15-16,221,,251,178,298,,5-Aug,230,10-Jun,216,1-Jan,208,,10-Sep,225,6-Jun,215,,0-0,0-0,0-0,0-1,8-Apr,7-Nov
,,,,,(15-14-2),,,,,,,(8-4-1),,(6-9-1),,(1-1-0),,,(9-9-1),,(6-5-1),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(4-8-0),(11-5-2)
,268,Bethune-Cookman,Southwestern Athletic,,17-16,239,,303,170,---,,2-Aug,307,13-Jul,199,1-Feb,281,,14-6,312,10-Mar,126,,0-1,0-2,0-3,0-3,3-Jan,16-7
,,,,,(17-16-0),,,,,,,(8-2-0),,(7-13-0),,(2-1-0),,,(14-6-0),,(3-10-0),,,(0-1-0),(0-2-0),(0-3-0),(0-3-0),(1-3-0),(16-7-0)
,269,Marist,Metro Atlantic Athletic,,20-10,278,,277,268,322,,4-Nov,285,5-Sep,274,0-1,242,,13-8,270,2-Jul,299,,0-0,0-0,0-0,0-0,1-Jan,19-9
,,,,,(17-10-3),,,,,,,(9-4-2),,(8-5-1),,(0-1-0),,,(12-8-1),,(5-2-2),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(1-1-0),(16-9-3)
,270,Old_Dominion,Sun Belt,,13-20,213,,263,183,237,,9-May,230,7-May,219,4-Mar,169,,11-Nov,225,9-Feb,189,,0-1,0-0,0-1,0-1,11-Jan,7-Dec
,,,,,(11-20-2),,,,,,,(5-9-0),,(3-7-2),,(3-4-0),,,(9-11-2),,(2-9-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(0-11-1),(11-7-1)
,271,Idaho,Big Sky,,19-Dec,214,,242,194,296,,6-Jun,215,12-May,207,1-Jan,268,,11-Sep,233,8-Mar,179,,0-1,0-0,0-1,0-2,6-Mar,10-Sep
,,,,,(11-19-1),,,,,,,(5-6-1),,(5-12-0),,(1-1-0),,,(8-11-1),,(3-8-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(3-6-0),(8-10-1)
,272,Georgia_St,Sun Belt,,13-19,209,,273,167,253,,6-Aug,243,11-Mar,168,2-Feb,233,,11-Sep,220,8-Apr,191,,0-2,0-1,0-3,0-1,8-Jan,7-Dec
,,,,,(12-19-1),,,,,,,(7-6-1),,(3-11-0),,(2-2-0),,,(8-11-1),,(4-8-0),,,(0-2-0),(0-1-0),(0-3-0),(0-1-0),(1-8-0),(11-7-1)
,273,Lafayette,Patriot League,,20-Dec,261,,304,227,284,,6-Sep,294,14-Mar,232,0-0,---,,12-Aug,279,8-Apr,231,,0-0,0-1,0-1,0-0,0-6,13-Dec
,,,,,(12-17-3),,,,,,,(9-5-1),,(3-12-2),,(0-0-0),,,(8-10-2),,(4-7-1),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(0-5-1),(12-11-2)
,274,SUNY_Albany,America East,,15-16,257,,287,221,289,,7-Jun,278,8-Aug,243,1-Jan,237,,9-Sep,277,7-Jun,230,,0-0,0-0,0-0,0-2,4-Jan,14-10
,,,,,(14-14-3),,,,,,,(6-6-1),,(7-7-2),,(1-1-0),,,(8-8-2),,(6-6-1),,,(0-0-0),(0-0-0),(0-0-0),(0-2-0),(1-4-0),(13-8-3)
,275,Gardner_Webb,Big South,,20-Nov,216,,261,192,---,,6-May,236,13-Mar,197,1-Mar,240,,12-Jun,231,8-May,196,,0-1,0-0,0-1,0-1,8-Mar,10-Aug
,,,,,(11-20-0),,,,,,,(5-6-0),,(3-13-0),,(3-1-0),,,(6-12-0),,(5-8-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(3-8-0),(8-10-0)
,276,E_Washington,Big Sky,,22-Aug,196,,254,174,---,,6-Jun,224,14-Feb,176,0-2,182,,13-Jun,237,9-Feb,124,,0-1,0-0,0-1,0-2,11-Feb,8-Jun
,,,,,(8-22-0),,,,,,,(6-6-0),,(2-14-0),,(0-2-0),,,(6-13-0),,(2-9-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(2-11-0),(6-8-0)
,277,Bowling_Green,Mid-American,,18-Dec,236,,296,195,---,,8-Jun,243,8-May,240,2-Jan,184,,11-Aug,239,7-Apr,230,,0-1,0-0,0-1,0-0,8-Jan,9-Nov
,,,,,(12-18-0),,,,,,,(6-8-0),,(5-8-0),,(1-2-0),,,(8-11-0),,(4-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(1-8-0),(11-9-0)
,278,Brown,Ivy League,,13-13,227,,273,188,186,,6-Jul,250,7-Jun,205,0-0,---,,8-Jun,232,5-Jul,221,,0-2,0-0,0-2,0-0,3-Mar,8-Oct
,,,,,(12-12-2),,,,,,,(6-6-1),,(6-6-1),,(0-0-0),,,(6-8-0),,(6-4-2),,,(0-2-0),(0-0-0),(0-2-0),(0-0-0),(2-3-1),(10-7-1)
,279,Mercer,Southern,,19-Dec,217,,317,169,221,,6-May,239,11-May,204,2-Feb,209,,13-Jul,218,6-May,216,,0-0,0-0,0-0,0-2,14-Feb,3-Oct
,,,,,(9-19-3),,,,,,,(4-6-1),,(4-11-1),,(1-2-1),,,(6-13-1),,(3-6-2),,,(0-0-0),(0-0-0),(0-0-0),(0-2-0),(1-14-1),(8-3-2)
,280,Louisiana,Sun Belt,,21-Nov,198,,264,164,139,,12-Apr,190,5-Jun,216,4-Jan,181,,11-Sep,223,10-Feb,154,,0-1,0-0,0-1,0-5,8-Feb,7-Sep
,,,,,(11-20-1),,,,,,,(4-11-1),,(6-5-0),,(1-4-0),,,(9-10-1),,(2-10-0),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(2-7-1),(9-7-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,Air_Force,Mountain West,,28-Apr,132,,264,117,134,,13-Mar,143,0-14,109,1-Jan,203,,20-Jan,94,8-Mar,206,,0-0,0-6,0-6,0-10,8-Jan,4-Mar
,,,,,(3-27-2),,,,,,,(2-12-2),,(0-14-0),,(1-1-0),,,(0-19-2),,(3-8-0),,,(0-0-0),(0-6-0),(0-6-0),(0-9-1),(1-8-0),(2-4-1)
,282,Alabama_St,Southwestern Athletic,,18-15,257,,309,197,289,,3-Aug,318,10-Jun,220,2-Apr,246,,15-6,315,9-Mar,156,,0-1,0-2,0-3,0-2,1-Feb,16-9
,,,,,(17-15-1),,,,,,,(7-3-1),,(6-10-0),,(4-2-0),,,(15-6-0),,(2-9-1),,,(0-1-0),(0-2-0),(0-3-0),(0-2-0),(2-1-0),(15-9-1)
,283,Ball_St,Mid-American,,17-Nov,234,,263,210,308,,7-Jun,249,9-Apr,225,1-Jan,197,,11-Jul,235,6-Apr,232,,0-0,0-0,0-0,0-1,6-Feb,10-Sep
,,,,,(9-17-2),,,,,,,(4-7-2),,(4-9-0),,(1-1-0),,,(5-11-2),,(4-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(2-6-0),(7-10-2)
,284,Denver,Summit,,21-Aug,197,,250,176,189,,6-May,205,12-Mar,194,0-3,187,,12-May,197,9-Mar,198,,0-0,0-1,0-1,0-1,12-Feb,7-Jun
,,,,,(8-18-3),,,,,,,(5-6-0),,(3-9-3),,(0-3-0),,,(5-11-1),,(3-7-2),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(2-10-2),(6-6-1)
,285,Southern_Miss,Sun Belt,,22-Sep,204,,259,183,208,,6-Jul,218,13-Jan,188,3-Jan,216,,14-Jun,216,8-Mar,182,,0-0,0-1,0-1,0-3,9-Feb,9-Jul
,,,,,(8-21-2),,,,,,,(6-6-1),,(1-12-1),,(1-3-0),,,(5-13-2),,(3-8-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(2-9-0),(6-8-2)
,286,Incarnate_Word,Southland,,16-Nov,244,,315,199,225,,5-Jun,277,10-Mar,212,1-Feb,264,,12-Aug,249,4-Mar,229,,0-1,0-0,0-1,0-1,5-Jan,9-Oct
,,,,,(10-15-2),,,,,,,(6-5-0),,(3-10-0),,(1-0-2),,,(7-11-2),,(3-4-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(1-5-0),(9-8-2)
,287,Austin_Peay,Atlantic Sun,,19-Dec,208,,241,187,220,,5-Jun,226,13-Apr,188,1-Feb,254,,11-Sep,236,8-Mar,157,,0-1,0-0,0-1,1-Jan,10-Mar,7-Aug
,,,,,(10-18-3),,,,,,,(4-5-2),,(4-12-1),,(2-1-0),,,(7-10-3),,(3-8-0),,,(0-1-0),(0-0-0),(0-1-0),(1-1-0),(2-9-2),(7-7-1)
,288,UTRGV,Southland,,15-Nov,228,,297,177,---,,4-Jul,257,11-Feb,193,Feb-00,294,,12-Jul,241,3-Apr,192,,0-1,0-1,0-2,0-3,3-Jan,7-Oct
,,,,,(11-15-0),,,,,,,(7-4-0),,(2-11-0),,(2-0-0),,,(7-12-0),,(4-3-0),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(1-3-0),(10-7-0)
,289,TN_Martin,Ohio Valley,,19-Nov,258,,274,232,293,,5-May,283,12-May,239,2-Jan,288,,12-Oct,280,7-Jan,199,,0-1,0-0,0-1,0-0,2-Jan,16-Oct
,,,,,(10-14-6),,,,,,,(5-4-1),,(4-8-5),,(1-2-0),,,(9-8-5),,(1-6-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(1-2-0),(9-11-6)
,290,Harvard,Ivy League,,15-Nov,220,,250,194,310,,5-Jun,222,10-May,219,0-0,---,,7-Jul,231,8-Apr,208,,0-1,0-0,0-1,0-1,5-Feb,8-Sep
,,,,,(10-15-1),,,,,,,(6-5-0),,(4-10-1),,(0-0-0),,,(6-7-1),,(4-8-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(2-5-0),(8-8-1)
,291,LIU_Brooklyn,Northeast,,15-16,281,,314,226,345,,5-Aug,315,9-Jul,247,0-2,329,,13-5,321,11-Feb,224,,0-1,0-1,0-2,0-0,3-Jan,14-11
,,,,,(14-13-4),,,,,,,(7-5-1),,(7-7-2),,(0-1-1),,,(12-3-3),,(2-10-1),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(1-3-0),(13-8-4)
,292,Long_Beach_St,Big West,,25-May,175,,256,155,191,,11-Jan,190,11-Apr,166,0-3,162,,17-Mar,183,8-Feb,158,,0-1,0-0,0-1,0-5,12-Jan,7-Apr
,,,,,(5-22-3),,,,,,,(1-8-3),,(4-11-0),,(0-3-0),,,(3-14-3),,(2-8-0),,,(0-1-0),(0-0-0),(0-1-0),(0-4-1),(1-12-0),(4-5-2)
,293,Tennessee_Tech,Ohio Valley,,13-17,258,,308,222,289,,5-Jul,285,10-May,229,2-Jan,294,,11-Oct,282,6-Mar,201,,0-0,0-1,0-1,0-2,0-1,13-13
,,,,,(11-17-2),,,,,,,(6-5-1),,(4-10-1),,(1-2-0),,,(8-11-2),,(3-6-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-1-0),(11-13-2)
,294,Rider,Metro Atlantic Athletic,,14-19,242,,270,221,---,,7-May,266,11-Aug,228,1-Jan,227,,12-Oct,265,7-Apr,195,,0-0,0-2,0-2,0-1,2-Feb,14-Dec
,,,,,(14-19-0),,,,,,,(5-7-0),,(8-11-0),,(1-1-0),,,(10-12-0),,(4-7-0),,,(0-0-0),(0-2-0),(0-2-0),(0-1-0),(2-2-0),(12-14-0)
,295,Charleston_So,Big South,,22-Aug,201,,248,184,181,,5-May,229,14-Mar,171,0-3,280,,11-Jun,230,11-Feb,164,,0-1,0-1,0-2,0-2,8-Feb,10-Jun
,,,,,(8-21-1),,,,,,,(5-5-0),,(3-13-1),,(0-3-0),,,(6-10-1),,(2-11-0),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(2-7-1),(6-10-0)
,296,Weber_St,Big Sky,,22-Sep,209,,269,177,255,,10-Feb,205,11-Apr,206,1-Mar,232,,14-Jun,234,8-Mar,164,,0-0,0-1,0-1,0-3,9-Jan,9-Aug
,,,,,(9-20-2),,,,,,,(2-10-0),,(4-9-2),,(3-1-0),,,(6-13-1),,(3-7-1),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(1-9-0),(8-7-2)
,297,Houston_Chr,Southland,,19-Sep,218,,294,182,---,,7-May,240,11-Apr,202,0-1,197,,11-Aug,248,8-Jan,155,,0-0,0-3,0-3,0-2,6-Jan,8-Aug
,,,,,(9-19-0),,,,,,,(5-7-0),,(4-11-0),,(0-1-0),,,(8-11-0),,(1-8-0),,,(0-0-0),(0-3-0),(0-3-0),(0-2-0),(1-6-0),(8-8-0)
,298,Tarleton_St,Western Athletic,,20-Sep,175,,252,140,---,,3-Jul,217,14-Jan,141,3-Jan,197,,10-Jul,200,10-Feb,139,,0-1,0-2,0-3,0-5,7-Feb,5-Jul
,,,,,(9-20-0),,,,,,,(7-3-0),,(1-14-0),,(1-3-0),,,(7-10-0),,(2-10-0),,,(0-1-0),(0-2-0),(0-3-0),(0-5-0),(2-7-0),(7-5-0)
,299,Utah_Tech,Western Athletic,,26-May,190,,275,175,124,,8-Mar,210,0-16,170,2-Feb,215,,15-Mar,205,11-Feb,169,,0-0,0-1,0-1,0-5,0-11,9-May
,,,,,(5-25-1),,,,,,,(3-7-1),,(0-16-0),,(2-2-0),,,(3-14-1),,(2-11-0),,,(0-0-0),(0-1-0),(0-1-0),(0-5-0),(0-10-1),(5-9-0)
,300,Boston_Univ,Patriot League,,15-16,262,,287,247,236,,4-Nov,270,12-Mar,250,Jan-00,316,,9-Oct,274,7-May,243,,0-0,0-1,0-1,0-0,3-Jan,14-12
,,,,,(12-16-3),,,,,,,(8-4-3),,(3-12-0),,(1-0-0),,,(8-9-2),,(4-7-1),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(0-3-1),(12-12-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
