Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,New_Mexico,Mountain West,,25-7,122,,138,64,112,,15-2,142,4-Jul,108,1-Mar,76,,18-4,116,3-Jul,136,,0-1,2-May,3-May,2-Aug,2-May,Jul-00
,,,,,(24-6-2),,,,,,,(14-1-2),,(7-4-0),,(3-1-0),,,(17-4-1),,(7-2-1),,,(0-1-0),(5-2-0),(5-3-0),(7-2-1),(5-1-1),(7-0-0)
,42,West_Virginia,Big 12,,19-13,77,,120,33,15,,13-4,115,7-Apr,38,2-Feb,23,,10-Oct,37,3-Sep,144,,7-Apr,1-Feb,8-Jun,5-Jul,Feb-00,Apr-00
,,,,,(17-11-4),,,,,,,(13-4-0),,(4-6-1),,(0-1-3),,,(9-9-2),,(8-2-2),,,(2-6-3),(2-0-1),(4-6-4),(7-5-0),(2-0-0),(4-0-0)
,43,Memphis,American Athletic,,29-5,109,,122,66,55,,14-2,118,2-Nov,121,1-Apr,51,,19-2,138,3-Oct,64,,1-Mar,1-Feb,2-May,1-Jul,15-2,Feb-00
