Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(23-10-1),,,,,,,(16-2-0),,(6-5-0),,(1-3-1),,,(16-6-1),,(7-4-0),,,(3-5-0),(5-3-0),(8-8-0),(7-2-0),(2-0-1),(6-0-0)
,37,Memphis,American Athletic,,29-5,119,,133,69,56,,14-2,125,2-Nov,135,1-Apr,56,,19-2,154,3-Oct,62,,1-Mar,1-Feb,2-May,1-Jun,14-2,Apr-00
,,,,,(27-4-3),,,,,,,(14-2-0),,(10-1-2),,(3-1-1),,,(19-1-1),,(8-3-2),,,(2-1-1),(1-1-1),(3-2-2),(6-1-0),(14-1-1),(4-0-0)
,38,Oregon,Big Ten,,24-9,80,,91,34,143,,4-Dec,112,5-Jul,54,May-00,43,,13-9,51,Nov-00,140,,4-Apr,3-Feb,7-Jun,2-Nov,Apr-00,Mar-00
,,,,,(21-9-3),,,,,,,(11-4-1),,(5-5-2),,(5-0-0),,,(11-9-2),,(10-0-1),,,(3-4-1),(2-3-0),(5-7-1),(11-2-0),(3-0-1),(2-0-1)
,39,Xavier,Big East,,21-11,108,,144,42,18,,15-2,142,7-May,77,2-Jan,41,,13-8,76,3-Aug,169,,4-Jan,4-Mar,8-Apr,3-Jul,Mar-00,Jul-00
,,,,,(21-9-2),,,,,,,(15-2-0),,(5-5-2),,(1-2-0),,,(13-6-2),,(8-3-0),,,(1-3-1),(3-3-1),(4-6-2),(7-3-0),(3-0-0),(7-0-0)
,40,Georgia,Southeastern,,20-12,96,,143,19,---,,15-3,144,7-Mar,33,2-Feb,39,,11-Aug,32,1-Dec,190,,8-Mar,4-Feb,12-May,Jun-00,Mar-00,Jun-00
,,,,,(20-12-0),,,,,,,(15-3-0),,(3-7-0),,(2-2-0),,,(8-11-0),,(12-1-0),,,(3-8-0),(2-4-0),(5-12-0),(6-0-0),(3-0-0),(6-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
