Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year
137,Middle Tennesseevs. 206 Louisiana Tech,CUSA,28,14–1411–9,109.6144,107.2151,.5644137,51.6170,50.8143,16.9186,15.0286,30.6176,28.379,31.6265,35.8201,52.4156,51.2153,33.7189,33.3137,45.064,35.661,66.3291,-7.9161,2026
138,Idaho,BSky,32,18–149–9,108.8160,106.4126,.5628138,51.9157,50.3118,15.059,15.2271,28.9237,24.25,34.8190,39.2291,52.0174,49.371,34.5152,34.8231,46.834,35.867,68.4174,-8.8183,2026
139,Troy,SB,31,20–1112–6,110.9124,108.5175,.5610139,51.9157,50.1106,17.0200,16.9162,34.854,31.6227,36.3149,32.1104,53.797,52.0194,33.2214,31.344,45.654,38.4145,66.0303,-6.1123,2026
140,Northern Colorado,BSky,29,17–1210–8,112.0113,109.7205,.5591140,55.728,50.1106,15.489,12.4363,27.2289,24.25,27.5345,38.8279,58.122,52.3211,35.0118,30.728,41.5141,35.046,69.4121,-7.0140,2026
141,Rhode Islandvs. 127 Duquesne,A10,31,16–157–11,104.6249,102.768,.5512141,50.0232,50.7135,19.1323,21.67,31.0165,31.6227,39.271,42.7334,53.6101,49.686,30.2340,34.9238,43.3104,41.6259,67.0253,-8.6174,2026
142,Bowling Greenvs. 139 Toledo,MAC,28,15–139–9,106.1213,104.393,.5492142,51.6170,50.8143,16.5162,18.570,28.8240,26.729,37.2128,37.8254,51.5193,51.6173,34.6145,33.1126,34.4285,41.8268,69.2129,-8.8182,2026
143,Boston College,ACC,31,11–204–14,102.9276,101.245,.5490143,47.0336,48.960,15.489,14.9294,28.3257,28.688,32.4249,34.6163,49.1282,49.686,29.4347,31.960,42.4127,39.0162,66.9257,-10.0211,2026
144,Temple,Amer,31,15–168–10,111.9115,110.1215,.5457144,50.2226,50.7135,13.715,15.5253,29.8204,30.3177,40.656,35.5194,50.0253,51.5163,33.6197,32.8104,35.7256,35.974,65.9307,-10.2214,2026
145,Toledovs. 150 Bowling Green,MAC,29,15–1411–7,113.691,111.9248,.5447145,54.070,54.6317,14.538,18.194,30.2191,33.9317,31.1283,26.716,53.6101,55.8325,36.636,35.3262,32.3325,40.2209,69.0138,-8.6177,2026
146,Arkansas St.,SB,30,18–1211–7,109.8143,108.3173,.5387146,51.7165,50.3118,19.8343,14.9294,38.28,27.039,39.178,37.0232,53.6101,50.8132,32.9235,32.9112,44.967,38.8157,73.19,-7.3146,2026
147,William & Mary,CAA,30,18–1210–8,109.9141,108.6177,.5349147,54.360,51.9205,16.5162,19.050,26.0322,31.5224,44.013,35.5194,57.924,53.7262,33.0226,33.1126,42.8118,45.5335,73.67,-7.1142,2026
148,Loyola Marymount,WCC,31,14–176–12,105.7222,104.698,.5312148,51.8161,48.960,17.5233,16.6180,26.7305,32.0253,31.1283,32.5110,51.6189,47.234,34.8133,34.6218,40.4160,36.284,68.2185,-10.1212,2026
149,North Texasvs. 122 Florida Atlantic,Amer,29,16–139–9,102.4288,101.348,.5311149,46.4346,48.754,17.2215,21.58,34.166,33.3306,38.687,43.8343,47.8313,49.892,29.0354,31.239,32.3325,38.1134,65.8312,-6.9137,2026
150,Central Arkansas,ASun,32,20–1215–3,108.5163,107.5159,.5277150,54.070,54.9324,15.489,19.050,28.8240,27.451,31.2280,30.162,54.767,57.3346,35.588,35.2254,48.720,52.3364,68.9142,-6.6131,2026
